Most Popular Baby Names for Your Requested Year

Gender		Name		Rank
Male		Gerald		244
Male		Gerard		630
Male		Gerardo		228
Male		German		664
Male		Giancarlo	945
Female		Gianna		622
Male		Gilbert		378
Male		Gilberto	423
Female		Gillian		969
Female		Gina		164
Male		Gino		637
Female		Giovanna	975
Male		Giovanni	300
Female		Giselle		838
Female		Gladys		695
Male		Glen		526
Male		Glenn		342
Female		Gloria		250
Male		Gonzalo		733
Male		Gordon		503
Female		Grace		127
Female		Graciela	898
Male		Grady		808
Male		Graham		401
Male		Grant		165
Male		Grayson		620
Male		Greg		794
Male		Gregorio	828
Male		Gregory		60
Female		Gretchen	683
Male		Griffin		561
Female		Griselda	834
Female		Guadalupe	293
Male		Guadalupe	661
Male		Guillermo	361
Male		Gunnar		746
Male		Gustavo		307
Male		Guy			615
Female		Gwendolyn	684
Female		Hailee		792
Female		Hailey		160
Male		Hakeem		731
Female		Haleigh		586
Female		Haley		56
Female		Hali		726
Female		Halie		753
Female		Hallie		598
Female		Hanna		290
Female		Hannah		26
Male		Hans		799
Female		Harley		525
Male		Harley		408
Male		Harold		355
Male		Harrison	282
Male		Harry		366
Male		Harvey		809
Male		Hassan		857
Male		Hayden		248
Female		Haylee		557
Female		Hayley		135
Male		Heath		544
Female		Heather		31
Female		Heaven		787
Male		Hector		156
Female		Heidi		225
Female		Helen		326
Male		Henry		141
Male		Herbert		587
Male		Heriberto	717
Male		Herman		699
Male		Hernan		804
Female		Hilary		233
Female		Hillary		131
Male		Holden		693
Female		Hollie		665
Female		Holly		99
Female		Hope		310
Male		Houston		747
Male		Howard		467
Male		Hugh		830
Male		Hugo		379
Male		Humberto	520
Male		Hunter		135
Male		Ian			68
Female		Iesha		434
Male		Ignacio		613
Female		Iliana		820
Female		Imani		550
Female		India		390
Female		Infant		746
Male		Infant		565
Female		Ingrid		708
Male		Ira			951
Female		Irene		430
Female		Iris		448
Female		Irma		835
Male		Irvin		543
Male		Irving		647
Male		Isaac		124
Female		Isabel		265
Female		Isabella	487
Female		Isabelle	839
Male		Isaiah		212
Male		Isaias		783
Female		Isamar		984
Male		Isiah		512
Male		Isidro		925
Male		Ismael		381
Male		Israel		297
Male		Issac		653
Male		Ivan		151
Female		Ivana		884
Female		Ivette		649
Female		Ivonne		899
Female		Ivy			741
Male		Jabari		738
Male		Jace		550
Male		Jack		155
Female		Jackie		623
Male		Jackie		701
Female		Jacklyn		535
Male		Jackson		223
Female		Jaclyn		171
Male		Jacob		15
Male		Jacoby		728
Female		Jacqueline	76
Female		Jacquelyn	241
Male		Jacques		895
Female		Jada		717
Female		Jade		181
Male		Jade		779
Female		Jaime		376
Male		Jaime		215
Female		Jaimie		628
Male		Jairo		713
Male		Jake		119
